rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults,scaled_income
1,20603.4416115086,38397.8089610305,51 to 100,Post 1999,Privately rented,6,end terrace,York and Humber,England,4,0.4806370823145438
2,12210.2399550382,32742.2937350439,51 to 100,1945 to 1964,Council/Housing Association,4,NA,North West,England,2,-0.06522799659959472
3,16236.108183192,49932.8480814056,151 to 200,Post 1999,Council/Housing Association,5,purpose built flat,West Midlands,England,3,1.5939883488426594
4,17406.0510452193,31932.0137694627,101 to 150,1984 to 1992,Owner-occupied,6,end terrace,York and Humber,England,2,-0.14343546659670114
5,16413.7433591282,27745.4251891656,51 to 100,1984 to 1992,Privately rented,7,converted flat,Wales,Wales,3,-0.5475211094509711
6,14201.229059863,40410.0192864878,50 or less,1993 to 1999,NA,5,bungalow,West Midlands,England,4,0.6748537547497196
7,21214.8046736566,43456.9054399587,50 or less,Post 1999,Owner-occupied,5,detached,York and Humber,England,1,0.9689363774901871
8,14251.2372852649,35253.648182631,50 or less,1919 to 1944,NA,4,detached,South West,England,2,0.1771656030877543
9,23412.4410097392,47588.1203819055,Over 250,1984 to 1992,Privately rented,5,end terrace,North West,England,2,1.367677408180925
10,14389.8113190144,19983.1051599917,151 to 200,1993 to 1999,Owner-occupied,4,bungalow,York and Humber,England,2,-1.2967330319673023
11,20319.6456631624,48962.5981936091,101 to 150,1965 to 1983,Privately rented,6,converted flat,West Midlands,England,3,1.500340730472738
12,24575.0736502196,47450.6699555819,Over 250,1945 to 1964,Owner-occupied,5,mid terraced,York and Humber,England,2,1.3544108206440086
13,8639.15238920157,36427.4915284274,50 or less,1919 to 1944,Owner-occupied,5,end terrace,London,England,1,0.2904638730034207
14,13453.4434597817,26666.5078075615,101 to 150,Post 1999,Owner-occupied,6,purpose built flat,South East,England,5 or more,-0.6516572134340377
15,14081.0005114817,15660.272661878,201 to 250,1919 to 1944,Owner-occupied,5,bungalow,South West,England,5 or more,-1.7139688112775404
16,17417.1006051963,31634.4951796368,201 to 250,1919 to 1944,Privately rented,5,end terrace,South West,England,2,-0.17215168466424366
17,13426.8918926698,23761.5775856281,201 to 250,Post 1999,NA,6,bungalow,North West,England,2,-0.9320383814573482
18,3142.23857883642,42910.7329990428,50 or less,Pre 1919,Owner-occupied,6,converted flat,Wales,Wales,5 or more,0.9162203205708505
19,4078.80989042123,19182.4679234705,50 or less,Pre 1919,Privately rented,4,purpose built flat,East of England,England,2,-1.3740097947080483
20,20382.5551012026,37065.6108184786,151 to 200,1965 to 1983,Privately rented,5,converted flat,North West,England,4,0.35205455443592704
21,13329.4020950258,42087.5592924206,Over 250,1945 to 1964,Council/Housing Association,5,purpose built flat,North East,England,5 or more,0.8367683586592843
22,6938.10339329735,31659.0791820069,Over 250,1984 to 1992,Owner-occupied,5,bungalow,East Midlands,England,4,-0.16977885957978142
23,13913.1555164173,39016.6134387199,51 to 100,1965 to 1983,Privately rented,7,purpose built flat,Wales,Wales,4,0.5403635159901631
24,19928.3463473829,63263.7999778129,51 to 100,1919 to 1944,NA,5,end terrace,York and Humber,England,2,2.8806794491505894
25,22878.7146480916,43088.009228692,51 to 100,1993 to 1999,Owner-occupied,5,detached,East of England,England,2,0.9333308576696486
26,12794.6724107982,49434.7178649909,51 to 100,1919 to 1944,Owner-occupied,5,semi-detached,West Midlands,England,2,1.5459092828287764
27,13545.9633626339,34731.4322087408,Over 250,1919 to 1944,Council/Housing Association,3,end terrace,Wales,Wales,1,0.1267618021240556
28,7015.90304556725,12290.975047769,201 to 250,1919 to 1944,Owner-occupied,5,purpose built flat,North West,England,2,-2.0391702888652845
29,16656.4460588546,14588.6652076754,151 to 200,Post 1999,Owner-occupied,6,bungalow,West Midlands,England,5 or more,-1.817399367854503
30,11884.2199660726,36800.6302186019,50 or less,1965 to 1983,Council/Housing Association,5,converted flat,South East,England,5 or more,0.3264788729493343
31,16634.657710287,26050.4599140298,201 to 250,1965 to 1983,Owner-occupied,6,end terrace,West Midlands,England,5 or more,-0.7111175841660261
32,17717.7859800485,36852.8424920356,50 or less,1945 to 1964,NA,5,end terrace,East Midlands,England,1,0.3315183531061928
33,19146.418820273,54486.6309993704,51 to 100,Post 1999,Council/Housing Association,5,end terrace,Wales,Wales,2,2.0335152482577468
34,12018.4171800455,34104.2244214659,Over 250,1984 to 1992,Owner-occupied,6,purpose built flat,York and Humber,England,5 or more,0.06622428880905103
35,16848.9687447636,32923.3717166035,Over 250,Pre 1919,Owner-occupied,5,mid terraced,York and Humber,England,2,-0.047750517936030426
36,7215.51777242552,8134.63311224492,51 to 100,Pre 1919,Council/Housing Association,4,end terrace,East of England,England,5 or more,-2.440336553647677
37,11258.1297413509,22622.2689856276,50 or less,1919 to 1944,NA,5,purpose built flat,South East,England,2,-1.0420033897715706
38,10972.0108393555,24441.9103943,50 or less,1919 to 1944,Privately rented,5,end terrace,South East,England,4,-0.866373290399481
39,4194.24010085437,29555.712587344,Over 250,1965 to 1983,Privately rented,3,bungalow,London,England,4,-0.37279385048730385
40,14818.4843128591,38131.0510260374,51 to 100,1993 to 1999,Privately rented,5,mid terraced,London,England,3,0.4548898540926304
41,15553.7617230053,34462.7963384472,50 or less,Post 1999,NA,6,semi-detached,East of England,England,2,0.10083331733045278
42,13095.7358522078,33600.9118222356,Over 250,1945 to 1964,Owner-occupied,4,NA,London,England,3,0.017645024017238706
43,17946.4834714085,33994.0574802092,101 to 150,1965 to 1983,Council/Housing Association,6,end terrace,London,England,2,0.05559107792023648
44,11508.0242736053,30639.5617829584,51 to 100,Pre 1919,Owner-occupied,5,mid terraced,West Midlands,England,3,-0.26818173239476195
45,8727.60116824862,30159.8863628966,Over 250,1945 to 1964,NA,4,converted flat,Wales,Wales,1,-0.3144795585984798
46,16535.2866788414,39500.5454480018,201 to 250,1984 to 1992,Council/Housing Association,7,purpose built flat,London,England,5 or more,0.587072184233499
47,11140.576682596,47085.3140408878,51 to 100,1993 to 1999,Privately rented,5,end terrace,North West,England,3,1.3191470069617728
48,20919.8727862247,29211.7541550465,151 to 200,Post 1999,Council/Housing Association,5,semi-detached,North East,England,5 or more,-0.4059923990344887
49,12790.4613670565,45405.2438435647,201 to 250,1965 to 1983,Privately rented,6,mid terraced,West Midlands,England,1,1.1569881913282984
50,17502.7331007715,42530.3034460783,50 or less,Post 1999,Owner-occupied,6,end terrace,West Midlands,England,2,0.8795016133174353
51,16056.3054147154,20377.1689924785,Over 250,1965 to 1983,NA,5,end terrace,South East,England,2,-1.2586983567127434
52,11260.1737472941,27522.3769190301,201 to 250,1945 to 1964,Owner-occupied,3,bungalow,Wales,Wales,4,-0.5690495214017914
53,21493.2404419401,34288.7432939086,101 to 150,Post 1999,Council/Housing Association,5,converted flat,South East,England,1,0.0840338790660573
54,17446.6218797044,27471.1673218253,50 or less,Post 1999,Council/Housing Association,6,purpose built flat,London,England,4,-0.5739922241799422
55,15050.9582334504,34271.96890065683,201 to 250,1984 to 1992,Privately rented,5,end terrace,London,England,3,0.08241483020309245
56,15857.9399356025,30013.4834446452,151 to 200,1919 to 1944,NA,6,end terrace,NA,NA,5 or more,-0.32861023234458725
57,17607.4888908055,32279.5550641521,Over 250,1993 to 1999,NA,5,end terrace,South West,England,5 or more,-0.10989110349785441
58,15050.9872311235,30812.9142805574,201 to 250,1919 to 1944,Privately rented,6,bungalow,NA,NA,2,-0.25144991027057456
